Count,City,Club Name,Rating,Reviews,Closing Time,WeightedRating,,TIME_INTEGER,TIME_AVG,TopClubScore
12,Milwaukee,Silk Exotic Madison Gentlemen's Club,3.2,94,2:30 AM,6.314009132,,2.5,,
13,Milwaukee,Blu Sapphires Gentleman's Club,4.1,143,2:30 AM,8.836877754,,2.5,,
14,Milwaukee,Cheetah Club,3.7,10,2:30 AM,3.7,,2.5,,
15,Milwaukee,Chocolate Rose Lounge,4.3,37,2:30 AM,6.743267413,,2.5,,
,,,,,,,,,,
1,Minneapolis,Rick's Cabaret Minneapolis,4.1,316,3:00 AM,10.24871704,3.715395105,3,3,10.89295323
2,Minneapolis,Downtown Cabaret,4.4,203,3:00 AM,10.15298257,,3,,
3,Minneapolis,The Seville Gentlemen's Club Minneapolis,4.4,299,3:00 AM,10.89295323,,3,,
4,Minneapolis,Spearmint Rhino Gentlemen's Club Minneapolis,3.6,190,3:00 AM,8.203512963,,3,,
5,Minneapolis,Dream Girls Strip Club,3,128,3:00 AM,6.321629909,,3,,
6,Minneapolis,Deja Vu Showgirls Minneapolis,3.5,173,3:00 AM,7.833161361,,3,,
7,Minneapolis,King of Diamonds,3.5,265,3:00 AM,8.481360559,,3,,
8,Minneapolis,Augie's Bourbon Street Cabaret,2.9,62,3:00 AM,5.1979359,,3,,
,,,,,,,,,,
1,New Orleans,Visions Mens Club,4.6,286,4:00 AM,11.29928375,4.046441707,4,4,14.6177649
2,New Orleans,Larry Flynt's Hustler Barely Legal - New Orleans Strip Club,4.1,254,4:00 AM,9.859818238,,4,,
3,New Orleans,Larry Flynt's Hustler Club New Orleans Strip Club,4.1,234,4:00 AM,9.713785015,,4,,
4,New Orleans,The Penthouse Club - New Orleans,3.6,134,4:00 AM,7.657577274,,4,,
5,New Orleans,Rick's Cabaret,3.6,154,4:00 AM,7.875074595,,4,,
6,New Orleans,Showcase Gentlemen's Club,4.9,14,4:00 AM,5.616027375,,4,,
7,New Orleans,Stripper King - New Orleans Strip Club Reservations,4.3,29,4:00 AM,6.288311391,,4,,
8,New Orleans,She She's,4.1,46,4:00 AM,6.81730711,,4,,
9,New Orleans,The Dungeon,4.4,2100,4:00 AM,14.6177649,,4,,
10,New Orleans,The Rabbit Hole,4.5,223,4:00 AM,10.56737188,,4,,
11,New Orleans,Passions Mens Club,4.3,27,4:00 AM,6.154864186,,4,,
12,New Orleans,Scores New Orleans,3.2,38,4:00 AM,5.055307509,,4,,
13,New Orleans,Executive Gentleman Club,3.2,43,4:00 AM,5.227099058,,4,,
14,New Orleans,Cabaret NOLA,3.9,38,4:00 AM,6.161156027,,4,,
15,New Orleans,Blaze Gentlemen's Club,2.3,16,4:00 AM,2.76947596,,4,,
16,New Orleans,Hunk-O-Mania Male Strip Club & Revue Show - Bachelorette Party Headquarters,4.7,120,4:00 AM,9.772151856,,4,,
17,New Orleans,The AllWays Lounge & Cabaret,4.7,911,4:00 AM,13.90973637,,4,,
18,New Orleans,Scores West,3.4,14,4:00 AM,3.896835321,,4,,
19,New Orleans,Club Spades,2.6,45,4:00 AM,4.298352536,,4,,
20,New Orleans,HUSTLER® Hollywood,4.5,367,4:00 AM,11.54099729,,4,,
,,,,,,,,,,
1,Oklahoma City,Secrets,4.6,157,2:00 AM,10.1011384,4.14323566,2,2.6,11.696685
2,Oklahoma City,Night Trips,4.3,525,2:00 AM,11.696685,,2,,
3,Oklahoma City,Deja Vu Showgirls OKC - Oklahoma Strip Club,3.9,271,4:00 AM,9.488580234,,4,,
4,Oklahoma City,Little Darlings OKC | Oklahoma City Strip Club,3.9,179,2:00 AM,8.786126821,,2,,
5,Oklahoma City,Bare Assets OKC | Oklahoma City Strip Club,4.7,17,6:00 AM,5.78310993,,6,,
6,Oklahoma City,Platinum Nights,3.7,79,2:00 AM,7.021220238,,2,,
7,Oklahoma City,Red Dog Saloon,3.9,157,2:00 AM,8.564008644,,2,,
8,Oklahoma City,Long Ears Club,4.1,24,2:00 AM,5.658866091,,2,,
